ANHO_ING,sexo,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,M,INGAMB,14,5.0,5.0,5.0,5.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,PREGRADO
2007,M,INGBIO,22,22.0,19.0,17.0,17.0,1.0,0.8636363636363636,0.7727272727272727,0.7727272727272727,PREGRADO
2007,M,INGCO,99,92.0,87.0,64.0,54.0,0.9292929292929293,0.8787878787878788,0.6464646464646465,0.5454545454545454,PREGRADO
2007,M,INGEST,18,16.0,13.0,10.0,9.0,0.8888888888888888,0.7222222222222222,0.5555555555555556,0.5,PREGRADO
2007,M,INGFI,37,26.0,21.0,19.0,19.0,0.7027027027027027,0.5675675675675675,0.5135135135135135,0.5135135135135135,PREGRADO
2007,M,INGMA,42,27.0,21.0,12.0,11.0,0.6428571428571429,0.5,0.2857142857142857,0.2619047619047619,PREGRADO
2007,M,LAT,9,7.0,6.0,7.0,6.0,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.6666666666666666,PREGRADO
2007,M,LCC,41,32.0,26.0,23.0,20.0,0.7804878048780488,0.6341463414634146,0.5609756097560976,0.4878048780487805,PREGRADO
2007,M,LEB,19,16.0,14.0,14.0,12.0,0.8421052631578947,0.7368421052631579,0.7368421052631579,0.631578947368421,PREGRADO
2007,M,LEE,14,8.0,7.0,6.0,6.0,0.5714285714285714,0.5,0.42857142857142855,0.42857142857142855,PREGRADO
2007,M,LEI,13,10.0,8.0,8.0,2.0,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.15384615384615385,PREGRADO
2007,M,LEM,14,11.0,9.0,6.0,1.0,0.7857142857142857,0.6428571428571429,0.42857142857142855,0.07142857142857142,PREGRADO
2007,M,LFM,44,33.0,17.0,9.0,7.0,0.75,0.38636363636363635,0.20454545454545456,0.1590909090909091,PREGRADO
2007,M,LICAF,31,29.0,26.0,26.0,26.0,0.9354838709677419,0.8387096774193549,0.8387096774193549,0.8387096774193549,PREGRADO
2007,M,LQC,12,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,PREGRADO
2007,M,MAGADE,32,31.0,8.0,5.0,,0.96875,0.25,0.15625,,MAGISTER
2007,M,MAGARH,10,10.0,7.0,6.0,2.0,1.0,0.7,0.6,0.2,MAGISTER
2007,M,MAGCAG,7,3.0,,1.0,1.0,0.42857142857142855,,0.14285714285714285,0.14285714285714285,MAGISTER
2007,M,MAGCDI,41,32.0,17.0,6.0,2.0,0.7804878048780488,0.4146341463414634,0.14634146341463414,0.04878048780487805,MAGISTER
2007,M,MAGEDU,55,47.0,25.0,9.0,4.0,0.8545454545454545,0.45454545454545453,0.16363636363636364,0.07272727272727272,MAGISTER
2007,M,MAGEF,17,12.0,8.0,7.0,1.0,0.7058823529411765,0.47058823529411764,0.4117647058823529,0.058823529411764705,MAGISTER
2007,M,MAGEI,9,8.0,5.0,2.0,2.0,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.2222222222222222,MAGISTER
2007,M,MAGEII,5,5.0,4.0,3.0,1.0,1.0,0.8,0.6,0.2,MAGISTER
2007,M,MAGFC,4,4.0,1.0,,1.0,1.0,0.25,,0.25,MAGISTER
2007,M,MAGFP,4,3.0,1.0,,,0.75,0.25,,,MAGISTER
2007,M,MAGGP,5,5.0,3.0,3.0,,1.0,0.6,0.6,,MAGISTER
2007,M,MAGGT,4,4.0,3.0,,1.0,1.0,0.75,,0.25,MAGISTER
2007,M,MAGHI,11,6.0,4.0,3.0,,0.5454545454545454,0.36363636363636365,0.2727272727272727,,MAGISTER
2007,M,MAGII,14,14.0,8.0,4.0,1.0,1.0,0.5714285714285714,0.2857142857142857,0.07142857142857142,MAGISTER
2007,M,MAGLG,4,3.0,2.0,1.0,1.0,0.75,0.5,0.25,0.25,MAGISTER
2007,M,MAGLI,2,1.0,1.0,1.0,,0.5,0.5,0.5,,MAGISTER
2007,M,MAGMA,91,67.0,15.0,8.0,3.0,0.7362637362637363,0.16483516483516483,0.08791208791208792,0.03296703296703297,MAGISTER
2007,M,MAGPC,3,3.0,,1.0,,1.0,,0.3333333333333333,,MAGISTER
2007,M,MAGPE,7,,1.0,1.0,,,0.14285714285714285,0.14285714285714285,,MAGISTER
2007,M,MAGPGT,12,3.0,2.0,,,0.25,0.16666666666666666,,,MAGISTER
2007,M,MAGPS,4,3.0,,1.0,,0.75,,0.25,,MAGISTER
2007,M,MAGTA,2,2.0,2.0,,,1.0,1.0,,,MAGISTER
2007,M,MAGTCO,12,9.0,6.0,7.0,3.0,0.75,0.5,0.5833333333333334,0.25,MAGISTER
