ANHO_ING,sexo,CODIGO_CARRERA_x,SIES_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,F,POSEI,I71S1C222J2V1,31,,,,,,,,,POSTITUTLO
2007,F,POSEMI,I71S1C236J2V1,7,6.0,5.0,2.0,,0.8571428571428571,0.7142857142857143,0.2857142857142857,,POSTITUTLO
2007,F,POSEPI,I71S1C237J2V1,10,7.0,3.0,,,0.7,0.3,,,POSTITUTLO
2007,F,POSEPR,I71S1C259J2V1,8,,,,,,,,,POSTITUTLO
2007,F,POSGEO,I71S1C207J2V1,9,,,,,,,,,POSTITUTLO
2007,F,POSGER,I71S1C368J2V1,1,1.0,,,,1.0,,,,POSTITUTLO
2007,F,POSGO,I71S1C230J2V1,2,2.0,,,,1.0,,,,POSTITUTLO
2007,F,POSIAM,I71S1C347J2V1,2,,,,,,,,,POSTITUTLO
2007,F,POSIC,I71S1C349J2V1,2,,,,,,,,,POSTITUTLO
2007,F,POSLTRI,I71S1C210J2V1,13,,,,,,,,,POSTITUTLO
2007,F,POSMARN,I71S1C360J2V1,7,,,,,,,,,POSTITUTLO
2007,F,POSNEU,I71S1C231J2V1,2,2.0,1.0,,,1.0,0.5,,,POSTITUTLO
2007,F,POSPED,I71S1C366J1V1,1,,,,,,,,,POSTITUTLO
2007,F,POSPP,I71S1C312J2V1,27,,,,,,,,,POSTITUTLO
2007,F,POSTROR,I71S1C232J2V1,3,2.0,,,,0.6666666666666666,,,,POSTITUTLO
2007,F,PRE,I71S1C70J2V1,31,15.0,5.0,1.0,,0.4838709677419355,0.16129032258064516,0.03225806451612903,,PREGRADO
2007,F,PROGNM,0,1,,,,,,,,,PREGRADO
2007,F,PSI,I71S1C71J1V1,52,46.0,45.0,44.0,44.0,0.8846153846153846,0.8653846153846154,0.8461538461538461,0.8461538461538461,PREGRADO
2007,F,PUB,I71S1C140J2V1,4,3.0,2.0,1.0,1.0,0.75,0.5,0.25,0.25,PREGRADO
2007,F,PUB,I71S1C72J1V1,33,31.0,28.0,28.0,27.0,0.9393939393939394,0.8484848484848485,0.8484848484848485,0.8181818181818182,PREGRADO
2007,F,TAI,I71S1C108J1V1,4,3.0,3.0,2.0,,0.75,0.75,0.5,,PREGRADO
2007,F,TAP,I71S1C102J1V1,27,26.0,24.0,4.0,2.0,0.9629629629629629,0.8888888888888888,0.14814814814814814,0.07407407407407407,PREGRADO
2007,F,TAP,I71S1C102J2V1,33,29.0,25.0,12.0,3.0,0.8787878787878788,0.7575757575757576,0.36363636363636365,0.09090909090909091,PREGRADO
2007,F,TAP,I71S1C172J2V1,5,1.0,,,,0.2,,,,PREGRADO
2007,F,TCI,I71S1C105J1V1,19,16.0,15.0,10.0,1.0,0.8421052631578947,0.7894736842105263,0.5263157894736842,0.05263157894736842,PREGRADO
2007,F,TCO,I71S1C110J1V1,10,7.0,6.0,5.0,,0.7,0.6,0.5,,PREGRADO
2007,F,TDI,I71S1C106J1V1,15,15.0,13.0,9.0,5.0,1.0,0.8666666666666667,0.6,0.3333333333333333,PREGRADO
2007,F,TEA,I71S1C103J1V1,50,48.0,43.0,25.0,5.0,0.96,0.86,0.5,0.1,PREGRADO
2007,F,TEA,I71S1C103J2V1,27,20.0,17.0,10.0,2.0,0.7407407407407407,0.6296296296296297,0.37037037037037035,0.07407407407407407,PREGRADO
2007,F,TEC,I71S1C104J1V1,15,12.0,11.0,7.0,4.0,0.8,0.7333333333333333,0.4666666666666667,0.26666666666666666,PREGRADO
2007,F,TEC,I71S1C104J2V1,13,12.0,11.0,11.0,3.0,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.23076923076923078,PREGRADO
2007,F,TEC,I71S1C271J2V1,1,1.0,1.0,,1.0,1.0,1.0,,1.0,PREGRADO
2007,F,TMI,I71S1C109J1V1,13,11.0,7.0,6.0,2.0,0.8461538461538461,0.5384615384615384,0.46153846153846156,0.15384615384615385,PREGRADO
2007,F,TQF,I71S1C75J2V1,18,12.0,13.0,5.0,,0.6666666666666666,0.7222222222222222,0.2777777777777778,,PREGRADO
2007,F,TRD,I71S1C176J2V1,52,44.0,,1.0,,0.8461538461538461,,0.019230769230769232,,PREGRADO
2007,F,TUI,I71S1C78J2V1,9,7.0,,,,0.7777777777777778,,,,PREGRADO
2007,M,ADMPUB,I71S1C2J1V1,51,48.0,46.0,44.0,44.0,0.9411764705882353,0.9019607843137255,0.8627450980392157,0.8627450980392157,PREGRADO
2007,M,ADMPUB,I71S1C2J2V1,1,1.0,1.0,,,1.0,1.0,,,PREGRADO
2007,M,ARQ,I71S1C3J1V1,32,31.0,29.0,28.0,28.0,0.96875,0.90625,0.875,0.875,PREGRADO
2007,M,BACHI,I71S1C4J1V1,49,34.0,14.0,,,0.6938775510204082,0.2857142857142857,,,PREGRADO
2007,M,CCIV,I71S1C90J2V1,79,67.0,52.0,20.0,4.0,0.8481012658227848,0.6582278481012658,0.25316455696202533,0.05063291139240506,PREGRADO
2007,M,CONTA,I71S1C152J2V1,20,17.0,15.0,15.0,16.0,0.85,0.75,0.75,0.8,PREGRADO
2007,M,CONTA,I71S1C6J1V1,49,44.0,40.0,38.0,37.0,0.8979591836734694,0.8163265306122449,0.7755102040816326,0.7551020408163265,PREGRADO
2007,M,CONTA,I71S1C6J2V1,21,8.0,6.0,6.0,5.0,0.38095238095238093,0.2857142857142857,0.2857142857142857,0.23809523809523808,PREGRADO
2007,M,DIPAGR,I71S1C253J2V1,5,,,,,,,,,DIPLOMADO
2007,M,DIPAN,I71S1C290J2V1,18,,,,,,,,,DIPLOMADO
2007,M,DIPAP,I71S1C214J2V1,21,,,,,,,,,DIPLOMADO
2007,M,DIPAPR,I71S1C316J2V1,18,,,,,,,,,DIPLOMADO
2007,M,DIPAR,I71S1C215J2V1,12,,,,,,,,,DIPLOMADO
2007,M,DIPCD,I71S1C254J2V1,9,,,,,,,,,DIPLOMADO
2007,M,DIPCSA,I71S1C209J2V1,12,,,,,,,,,DIPLOMADO
2007,M,DIPDHG,I71S1C291J2V1,11,,,,,,,,,DIPLOMADO
2007,M,DIPEG,I71S1C338J2V1,9,,,,,,,,,DIPLOMADO
2007,M,DIPEGCR,I71S1C614J2V1,44,,,,,,,,,DIPLOMADO
2007,M,DIPEPC,I71S1C295J1V1,16,,,,,,,,,DIPLOMADO
2007,M,DIPEREG,0,6,,,,,,,,,DIPLOMADO
2007,M,DIPET,0,57,,,,,,,,,DIPLOMADO
2007,M,DIPGA,I71S1C213J2V1,18,,,,,,,,,DIPLOMADO
2007,M,DIPGC,I71S1C213J2V1,6,,,,,,,,,DIPLOMADO
2007,M,DIPGCA,I71S1C342J2V1,50,,,,,,,,,DIPLOMADO
2007,M,DIPGCLC,I71S1C355J2V1,5,,,,,,,,,DIPLOMADO
2007,M,DIPGES,I71S1C320J1V1,13,,,,,,,,,DIPLOMADO
2007,M,DIPGFIN,I71S1C292J2V1,7,,,,,,,,,DIPLOMADO
2007,M,DIPGINM,0,7,,,,,,,,,DIPLOMADO
2007,M,DIPGLDN,0,2,,,,,,,,,DIPLOMADO
2007,M,DIPGLGC,I71S1C293J2V1,6,,,,,,,,,DIPLOMADO
2007,M,DIPGLPD,I71S1C217J2V1,23,2.0,1.0,,,0.08695652173913043,0.043478260869565216,,,DIPLOMADO
2007,M,DIPGS,I71S1C216J2V1,16,,,,,,,,,DIPLOMADO
2007,M,DIPIEDF,I71S1C130J2V1,25,4.0,1.0,,,0.16,0.04,,,DIPLOMADO
2007,M,DIPLAS,0,8,,,,,,,,,DIPLOMADO
2007,M,DIPMG,I71S1C257J2V1,15,,,,,,,,,DIPLOMADO
2007,M,DIPNICI,I71S1C218J2V1,71,,,,,,,,,DIPLOMADO
2007,M,DIPPINF,I71S1C208J2V1,12,,,,,,,,,DIPLOMADO
2007,M,DIPPMM,I71S1C177J2V1,2,,,,,,,,,DIPLOMADO
2007,M,DIPPN,0,8,,,,,,,,,DIPLOMADO
2007,M,DIPSD,0,9,,,,,,,,,DIPLOMADO
2007,M,DIPSGV,0,25,,,,,,,,,DIPLOMADO
2007,M,DOCBIO,I71S1C118J1V1,8,6.0,3.0,3.0,3.0,0.75,0.375,0.375,0.375,DOCTORADO
2007,M,DOCCSALIM,I71S1C227J1V1,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,DOCTORADO
2007,M,DOCCSFIS,I71S1C8J1V1,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCCSING,I71S1C113J1V1,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCCSING,I71S1C114J1V1,3,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.6666666666666666,DOCTORADO
2007,M,DOCCSING,I71S1C131J2V1,12,12.0,9.0,7.0,4.0,1.0,0.75,0.5833333333333334,0.3333333333333333,DOCTORADO
2007,M,DOCCSING,I71S1C91J1V1,4,3.0,2.0,2.0,1.0,0.75,0.5,0.5,0.25,DOCTORADO
2007,M,DOCCSMAT,I71S1C115J1V1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCESTAM,I71S1C9J2V1,13,13.0,10.0,8.0,7.0,1.0,0.7692307692307693,0.6153846153846154,0.5384615384615384,DOCTORADO
2007,M,DOCMICROBIO,I71S1C98J2V1,3,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,DOCQUIM,I71S1C10J2V1,5,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,M,ENF,I71S1C11J1V1,14,11.0,10.0,10.0,9.0,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.6428571428571429,PREGRADO
